Date,Name,Year,Letterboxd URI
2024-12-18,Striped Trip,1961,https://boxd.it/Q52
2024-12-18,Winter Evening in Gagry,1985,https://boxd.it/4sM
2024-12-18,Midnight Mass,1962,https://boxd.it/moWw
2024-12-18,Witchhammer,1970,https://boxd.it/akE
2024-12-18,The Fabulous World of Jules Verne,1958,https://boxd.it/1Ezw
2024-12-18,The Witch's Mirror,1960,https://boxd.it/Vzc
2024-12-18,Reap of Evil,1994,https://boxd.it/wpES
2024-12-18,Kids Return,1996,https://boxd.it/1sfY
2024-12-18,Three Colours: Blue,1993,https://boxd.it/2b7K
2024-12-19,The Ornithologist,2016,https://boxd.it/d6Z0
2024-12-20,Beau Travail,1999,https://boxd.it/1NI8
2024-12-20,Funeral Parade of Roses,1969,https://boxd.it/28Cg
2024-12-20,Class Relations,1984,https://boxd.it/3Up2
2024-12-20,Homo Sapiens,2016,https://boxd.it/dj0E
2024-12-20,The Wound,2017,https://boxd.it/fb0q
2024-12-20,An Elephant Sitting Still,2018,https://boxd.it/i1EQ
2024-12-20,The Worst Person in the World,2021,https://boxd.it/oyws
2024-12-20,Juror #2,2024,https://boxd.it/FRwU
2024-12-20,Samsara,2011,https://boxd.it/3ada
2024-12-22,The Komsomol - Chief of Electrification,1932,https://boxd.it/gPZU
2024-12-22,April,1961,https://boxd.it/2VoW
2024-12-22,Siberiade,1979,https://boxd.it/2d0c
2024-12-22,Satan's Rhapsody,1917,https://boxd.it/4nd0
2024-12-24,Lake Mungo,2008,https://boxd.it/1rWM
2024-12-27,Seams,1993,https://boxd.it/7FF8
2024-12-27,Mysterious Skin,2004,https://boxd.it/1UsG
2024-12-27,Days of Eclipse,1988,https://boxd.it/OtG
2024-12-27,The Snow Queen,1957,https://boxd.it/2oYM
2024-12-30,Séance,2000,https://boxd.it/1r4A
2024-12-30,Serpent's Path,1998,https://boxd.it/3wWc
2024-12-30,Retribution,2006,https://boxd.it/NO4
2024-12-31,Ali: Fear Eats the Soul,1974,https://boxd.it/2aRi
